Loan_ID,Customer_ID,Account_ID,Product_ID,Date_Origination,Date_Closure,Loan_Amount,Interest_Rate,Default_Flag,Recovery_Amount
LN0000083,205404728,ACC205404728,PRD004,11/13/2021,12/31/2024,727114,10.57,0,0
LN0000084,205404141,ACC205404141,PRD003,4/28/2024,12/31/2024,90597,17.23,0,0
LN0000085,205400864,ACC205400864,PRD004,9/11/2022,,1917448,11.89,0,0
LN0000086,205400203,ACC205400203,PRD003,12/11/2023,12/31/2024,392751,11.91,0,0
LN0000087,205401347,ACC205401347,PRD003,6/8/2021,4/28/2024,194094,14.12,0,0
LN0000088,205402942,ACC205402942,PRD003,6/21/2024,12/31/2024,297609,12.05,0,0
LN0000089,205401478,ACC205401478,PRD004,10/20/2021,,895077,13.96,0,0
LN0000090,205401117,ACC205401117,PRD004,11/8/2023,,658920,9.68,0,0
LN0000091,205403130,ACC205403130,PRD003,12/18/2023,,204298,15.33,0,0
LN0000092,205401882,ACC205401882,PRD004,6/17/2023,12/31/2024,1460286,13.3,0,0
LN0000093,205402668,ACC205402668,PRD004,7/2/2022,,270622,10.51,0,0
LN0000094,205401612,ACC205401612,PRD003,12/6/2022,12/31/2024,137152,17.2,0,0
LN0000095,205402706,ACC205402706,PRD003,3/15/2022,,186600,15.38,0,0
LN0000096,205403845,ACC205403845,PRD003,3/1/2024,12/31/2024,121082,17.62,1,90928.62
LN0000097,205401018,ACC205401018,PRD004,5/11/2021,,470297,10.11,0,0
LN0000098,205401193,ACC205401193,PRD003,8/8/2022,12/31/2024,306243,10.36,0,0
LN0000099,205401239,ACC205401239,PRD004,5/30/2023,12/31/2024,842399,12.26,1,578095.53
LN0000100,205403503,ACC205403503,PRD003,12/21/2020,2/18/2023,442644,14.06,0,0
LN0000101,205400313,ACC205400313,PRD003,6/21/2020,8/19/2023,116462,11.78,1,46937.72
LN0000102,205400211,ACC205400211,PRD004,5/22/2024,12/31/2024,1288934,14.44,0,0
LN0000103,205403958,ACC205403958,PRD003,10/1/2021,5/29/2023,140774,14.34,1,104535.81
LN0000104,205403004,ACC205403004,PRD003,9/17/2023,,254601,14.31,0,0
LN0000105,205401920,ACC205401920,PRD003,4/18/2024,12/31/2024,237258,17.99,0,0
LN0000106,205404064,ACC205404064,PRD003,8/19/2019,5/8/2023,322438,11.4,0,0
LN0000107,205404191,ACC205404191,PRD003,1/29/2023,12/31/2024,182899,15.23,0,0
LN0000108,205403565,ACC205403565,PRD003,12/1/2019,11/20/2023,452170,16,1,319041.99
LN0000109,205402243,ACC205402243,PRD003,12/9/2022,12/31/2024,462146,14.41,0,0
LN0000110,205400113,ACC205400113,PRD003,1/3/2024,,489620,16.24,0,0
LN0000111,205401594,ACC205401594,PRD003,2/10/2024,12/31/2024,274831,14.61,0,0
LN0000112,205400654,ACC205400654,PRD003,6/6/2019,3/13/2023,358831,15.75,0,0
LN0000113,205403455,ACC205403455,PRD004,7/16/2022,,1204087,13.34,0,0
LN0000114,205402141,ACC205402141,PRD003,4/12/2023,,373726,11.62,0,0
LN0000115,205400635,ACC205400635,PRD004,6/20/2024,12/31/2024,1856305,11.58,1,1369279.9
LN0000116,205401077,ACC205401077,PRD003,2/3/2024,,232776,13.94,0,0
LN0000117,205401608,ACC205401608,PRD003,5/18/2023,12/31/2024,206731,15.5,0,0
LN0000118,205402640,ACC205402640,PRD003,10/25/2023,,419138,16.19,0,0
LN0000119,205402347,ACC205402347,PRD003,8/23/2023,12/31/2024,478040,16.57,0,0
LN0000120,205400845,ACC205400845,PRD003,6/25/2024,12/31/2024,434240,17.94,0,0
LN0000121,205402343,ACC205402343,PRD003,4/16/2023,12/31/2024,145616,10.37,1,107395.64
LN0000122,205403754,ACC205403754,PRD003,11/7/2021,12/31/2024,332006,13.24,1,184675.83
LN0000123,205403095,ACC205403095,PRD003,9/3/2023,12/31/2024,486256,15.41,1,289712.54
LN0000124,205400194,ACC205400194,PRD003,4/1/2022,10/13/2023,53879,17.18,0,0
LN0000125,205403899,ACC205403899,PRD003,3/17/2024,,250558,15.08,0,0
LN0000126,205402142,ACC205402142,PRD004,11/26/2021,10/9/2023,1009769,10.44,0,0
LN0000127,205400851,ACC205400851,PRD003,6/27/2023,,155640,11.58,0,0
LN0000128,205404116,ACC205404116,PRD003,7/25/2021,10/30/2023,290785,12.3,0,0
LN0000129,205401524,ACC205401524,PRD003,12/6/2022,12/31/2024,445916,11.49,0,0
LN0000130,205401809,ACC205401809,PRD004,7/5/2022,,1964475,11.7,0,0
LN0000131,205404263,ACC205404263,PRD004,4/5/2020,12/29/2024,1790594,13.8,1,363828.92
LN0000132,205404886,ACC205404886,PRD003,8/16/2022,,409059,11.74,0,0
LN0000133,205400766,ACC205400766,PRD003,12/16/2023,,494096,17.36,0,0
LN0000134,205404673,ACC205404673,PRD004,8/20/2022,,583753,8.58,0,0
LN0000135,205400006,ACC205400006,PRD003,10/22/2023,12/31/2024,351213,11.5,0,0
LN0000136,205401016,ACC205401016,PRD003,4/20/2023,,364490,10.49,0,0
LN0000137,205401459,ACC205401459,PRD003,2/6/2024,,64342,10.56,0,0
LN0000138,205400891,ACC205400891,PRD003,2/16/2022,9/14/2023,201456,15.14,1,67498.52
LN0000139,205404924,ACC205404924,PRD003,2/3/2021,1/31/2023,459317,15.19,0,0
LN0000140,205400520,ACC205400520,PRD003,9/1/2022,12/31/2024,164974,17.43,0,0
LN0000141,205401015,ACC205401015,PRD003,11/15/2022,,316890,14.58,0,0
LN0000142,205401308,ACC205401308,PRD003,10/6/2021,10/19/2022,68699,14.78,0,0
LN0000143,205403138,ACC205403138,PRD003,8/21/2022,12/31/2024,279465,11.03,0,0
LN0000144,205402142,ACC205402142,PRD004,3/30/2022,4/7/2024,983913,11.32,0,0
LN0000145,205402744,ACC205402744,PRD003,4/20/2024,12/31/2024,398887,14.74,0,0
LN0000146,205404349,ACC205404349,PRD003,4/27/2022,12/31/2024,67900,14.57,0,0
LN0000147,205404337,ACC205404337,PRD003,6/25/2023,12/31/2024,107645,10.2,0,0
LN0000148,205403855,ACC205403855,PRD003,8/12/2021,12/31/2024,393103,16.4,0,0
LN0000149,205402983,ACC205402983,PRD003,11/8/2022,,221054,12.49,0,0
LN0000150,205403741,ACC205403741,PRD003,7/12/2023,12/31/2024,345846,13.43,0,0
LN0000151,205404668,ACC205404668,PRD004,3/14/2022,,1979985,9.46,0,0
LN0000152,205403126,ACC205403126,PRD003,4/17/2024,,380279,13.57,0,0
LN0000153,205401273,ACC205401273,PRD003,2/14/2024,12/31/2024,111756,15.19,0,0
LN0000154,205403424,ACC205403424,PRD003,2/7/2023,,154259,11.1,0,0
LN0000155,205400088,ACC205400088,PRD003,8/19/2023,12/31/2024,280475,13.12,0,0
LN0000156,205402257,ACC205402257,PRD003,5/24/2021,12/31/2024,184356,12.57,0,0
LN0000157,205401458,ACC205401458,PRD004,9/22/2021,12/31/2024,1766979,12.48,1,1154621.14
LN0000158,205401987,ACC205401987,PRD003,9/27/2022,11/20/2024,352236,17.26,0,0
LN0000159,205400590,ACC205400590,PRD004,9/26/2020,6/6/2024,648091,9.03,0,0
LN0000160,205401213,ACC205401213,PRD004,7/25/2021,3/31/2024,625568,8.87,0,0
LN0000161,205401071,ACC205401071,PRD003,10/17/2020,3/8/2024,149019,10.89,1,69016.35
LN0000162,205402437,ACC205402437,PRD004,3/1/2022,,649136,11.57,0,0
LN0000163,205404905,ACC205404905,PRD004,10/16/2023,12/31/2024,1756455,9.16,0,0
LN0000164,205402814,ACC205402814,PRD003,1/1/2024,,194418,10.93,0,0
LN0000165,205400783,ACC205400783,PRD003,9/27/2021,,149377,15.07,0,0
LN0000166,205400789,ACC205400789,PRD003,8/14/2023,,398489,17.82,0,0
LN0000167,205404519,ACC205404519,PRD003,9/20/2021,,421749,10.71,0,0
LN0000168,205402433,ACC205402433,PRD004,1/15/2022,,1866373,10.75,0,0
LN0000169,205400940,ACC205400940,PRD004,12/11/2023,,1474390,13.05,0,0
LN0000170,205403453,ACC205403453,PRD003,1/15/2019,8/8/2023,300152,16.04,1,181774.45
LN0000171,205404991,ACC205404991,PRD003,4/5/2021,,273221,13.99,0,0
LN0000172,205403614,ACC205403614,PRD004,8/17/2020,9/22/2024,1552054,11.72,0,0
LN0000173,205400092,ACC205400092,PRD004,1/3/2024,12/31/2024,647139,11,0,0
LN0000174,205403950,ACC205403950,PRD003,10/8/2021,,110048,17.51,0,0
LN0000175,205404794,ACC205404794,PRD003,3/22/2023,,324159,11.48,0,0
LN0000176,205400902,ACC205400902,PRD003,12/27/2022,,324016,16.17,0,0
LN0000177,205403713,ACC205403713,PRD003,11/8/2022,,90000,17.42,0,0
LN0000178,205402943,ACC205402943,PRD003,11/24/2021,11/18/2024,239845,12.48,0,0
LN0000179,205400465,ACC205400465,PRD003,1/23/2023,,466737,14.55,0,0
LN0000180,205403199,ACC205403199,PRD004,10/15/2022,,1849730,8.16,0,0
LN0000181,205402002,ACC205402002,PRD003,4/7/2023,12/31/2024,134393,10.51,0,0
LN0000182,205400176,ACC205400176,PRD004,7/11/2023,12/31/2024,1908284,14.22,0,0
LN0000183,205402466,ACC205402466,PRD003,3/10/2021,,269557,13.1,0,0
LN0000184,205404339,ACC205404339,PRD003,3/25/2020,,248329,17.06,0,0
LN0000185,205403902,ACC205403902,PRD003,2/20/2023,,407287,10.8,0,0
LN0000186,205403917,ACC205403917,PRD003,4/5/2024,,229746,11.46,0,0
LN0000187,205401886,ACC205401886,PRD003,12/9/2019,5/14/2024,135067,12.47,1,40694.65
LN0000188,205404023,ACC205404023,PRD004,12/24/2022,,1162405,8.06,0,0
LN0000189,205403517,ACC205403517,PRD003,7/24/2022,,450626,11.81,0,0
LN0000190,205400627,ACC205400627,PRD003,5/28/2023,,290394,16.68,0,0
LN0000191,205402138,ACC205402138,PRD004,4/5/2021,9/24/2022,1015486,8.49,0,0
LN0000192,205400878,ACC205400878,PRD003,5/13/2023,12/31/2024,249426,14.23,1,153207.42
LN0000193,205402616,ACC205402616,PRD004,11/28/2022,12/31/2024,1359745,9.56,0,0
LN0000194,205400424,ACC205400424,PRD004,2/17/2023,,730687,10.83,0,0
LN0000195,205400116,ACC205400116,PRD004,6/30/2023,11/24/2024,1175406,10.31,0,0
LN0000196,205402677,ACC205402677,PRD004,5/22/2022,,708581,13.5,0,0
LN0000197,205401731,ACC205401731,PRD004,5/8/2024,12/31/2024,809199,9.81,0,0
LN0000198,205403911,ACC205403911,PRD004,7/13/2021,7/18/2023,1640457,12.52,0,0
LN0000199,205404973,ACC205404973,PRD003,10/20/2021,11/28/2023,126929,17.29,0,0
LN0000200,205403028,ACC205403028,PRD003,4/6/2022,,457960,17.05,0,0
LN0000201,205401671,ACC205401671,PRD003,12/29/2020,,154105,16.01,0,0
LN0000202,205404493,ACC205404493,PRD003,3/8/2021,,198858,13.43,0,0
LN0000203,205400495,ACC205400495,PRD004,2/27/2019,7/4/2022,522903,10.79,0,0
LN0000204,205402075,ACC205402075,PRD003,12/13/2023,12/31/2024,351622,15.99,0,0
LN0000205,205404721,ACC205404721,PRD004,12/23/2022,12/31/2024,1791597,11.95,0,0
LN0000206,205404496,ACC205404496,PRD004,3/8/2023,,777581,9.82,0,0
LN0000207,205403988,ACC205403988,PRD003,3/8/2024,12/31/2024,151448,11.15,0,0
LN0000208,205400377,ACC205400377,PRD004,9/18/2018,,614596,11.06,0,0
LN0000209,205403687,ACC205403687,PRD003,2/15/2022,,178873,17.59,0,0
LN0000210,205404703,ACC205404703,PRD003,11/12/2020,,393677,13.37,0,0
LN0000211,205400314,ACC205400314,PRD004,12/15/2023,12/31/2024,1439624,9.3,0,0
LN0000212,205403161,ACC205403161,PRD003,12/19/2023,12/28/2024,218854,17.98,0,0
LN0000213,205403574,ACC205403574,PRD003,4/11/2024,,145402,10.39,0,0
LN0000214,205403827,ACC205403827,PRD003,7/26/2022,,76376,16.38,0,0
LN0000215,205404390,ACC205404390,PRD003,1/23/2020,,104755,16.01,0,0
LN0000216,205402445,ACC205402445,PRD003,7/20/2023,12/31/2024,214192,13.3,0,0
LN0000217,205401827,ACC205401827,PRD003,6/6/2024,12/31/2024,475601,16.5,1,374058.53
LN0000218,205401058,ACC205401058,PRD003,11/21/2023,,217710,15.72,0,0
LN0000219,205404848,ACC205404848,PRD003,2/28/2023,,317680,14.78,0,0
LN0000220,205403854,ACC205403854,PRD003,5/3/2020,5/27/2023,376287,12.68,0,0
LN0000221,205404793,ACC205404793,PRD003,12/20/2020,,449171,14.32,0,0
LN0000222,205400216,ACC205400216,PRD003,3/4/2024,12/31/2024,90052,12.81,1,37848.22
LN0000223,205402618,ACC205402618,PRD003,10/29/2023,12/31/2024,453842,13.67,0,0
LN0000224,205404232,ACC205404232,PRD003,8/7/2023,12/31/2024,178912,10.73,1,52908.09
LN0000225,205402471,ACC205402471,PRD003,11/2/2023,,410789,17.18,0,0
LN0000226,205401344,ACC205401344,PRD004,8/17/2022,,1973173,10.41,0,0
LN0000227,205400788,ACC205400788,PRD003,11/25/2022,,309184,11.44,0,0
LN0000228,205403885,ACC205403885,PRD003,4/25/2022,12/31/2024,496592,11.32,1,329544.74
LN0000229,205401981,ACC205401981,PRD004,2/20/2023,12/31/2024,539875,12.12,0,0
LN0000230,205404085,ACC205404085,PRD004,12/18/2020,5/6/2022,1446161,9.29,1,844074.75
LN0000231,205403927,ACC205403927,PRD003,1/4/2022,12/31/2024,337143,17.09,0,0
LN0000232,205400647,ACC205400647,PRD003,12/19/2022,,120374,12.99,0,0
LN0000233,205403949,ACC205403949,PRD003,4/21/2023,,261259,12.95,0,0
LN0000234,205403446,ACC205403446,PRD003,12/4/2021,,436171,15.23,0,0
LN0000235,205402839,ACC205402839,PRD003,10/3/2022,,285244,16.06,0,0
LN0000236,205401311,ACC205401311,PRD003,2/27/2021,10/11/2024,270160,10.71,0,0
LN0000237,205403769,ACC205403769,PRD004,10/28/2022,5/24/2024,1341774,9.16,1,594354.34
LN0000238,205400705,ACC205400705,PRD003,7/28/2020,,119041,17.71,0,0
LN0000239,205402134,ACC205402134,PRD003,12/14/2021,9/4/2024,242127,11.01,0,0
LN0000240,205404407,ACC205404407,PRD004,5/26/2023,,1046999,11.02,0,0
LN0000241,205403918,ACC205403918,PRD003,2/24/2024,12/31/2024,122755,17.21,0,0
LN0000242,205403944,ACC205403944,PRD004,4/16/2021,5/30/2022,1646282,13.91,0,0
LN0000243,205403770,ACC205403770,PRD004,5/19/2022,12/31/2024,201736,8.86,0,0
LN0000244,205404535,ACC205404535,PRD004,6/27/2021,12/6/2022,1472311,14.65,1,984465.3
LN0000245,205402093,ACC205402093,PRD003,9/21/2022,12/31/2024,166365,12.83,0,0
LN0000246,205401038,ACC205401038,PRD003,9/7/2023,12/31/2024,194157,14.61,0,0
LN0000247,205402151,ACC205402151,PRD004,12/7/2022,12/31/2024,1622832,12.57,0,0
LN0000248,205404962,ACC205404962,PRD003,1/15/2021,3/4/2024,279777,10.73,0,0
LN0000249,205402237,ACC205402237,PRD003,3/3/2023,12/31/2024,223231,13.56,1,82819.85
LN0000250,205402670,ACC205402670,PRD003,11/8/2023,,159874,17.69,0,0
LN0000251,205400838,ACC205400838,PRD004,4/26/2021,,1412350,14.52,0,0
LN0000252,205400936,ACC205400936,PRD003,2/6/2024,12/31/2024,250115,10.46,0,0
LN0000253,205402035,ACC205402035,PRD003,4/29/2022,,250714,14.33,0,0
LN0000254,205400257,ACC205400257,PRD003,1/8/2023,12/31/2024,224539,11.13,0,0
LN0000255,205403756,ACC205403756,PRD003,8/6/2023,,153817,17.59,0,0
LN0000256,205404708,ACC205404708,PRD004,7/27/2020,7/12/2024,1700227,9.88,0,0
LN0000257,205400636,ACC205400636,PRD003,7/2/2023,9/12/2024,444086,14.58,0,0
LN0000258,205402961,ACC205402961,PRD003,10/20/2023,12/31/2024,471559,11.58,0,0
LN0000259,205400107,ACC205400107,PRD003,2/25/2024,,432792,10.65,0,0
LN0000260,205402195,ACC205402195,PRD004,3/30/2023,,724661,8.15,0,0
LN0000261,205404668,ACC205404668,PRD003,5/3/2021,12/31/2022,282015,13.98,0,0
LN0000262,205401221,ACC205401221,PRD003,12/31/2023,,460976,11.86,0,0
LN0000263,205404834,ACC205404834,PRD004,1/6/2023,,1104418,13,0,0
LN0000264,205402971,ACC205402971,PRD003,8/11/2023,12/31/2024,317984,10.49,0,0
LN0000265,205402611,ACC205402611,PRD003,9/15/2023,,145603,14.12,0,0
LN0000266,205403275,ACC205403275,PRD003,7/13/2022,12/31/2024,328773,16.28,1,124656.84
LN0000267,205403783,ACC205403783,PRD003,8/8/2023,8/22/2024,386058,15.38,0,0
LN0000268,205400291,ACC205400291,PRD003,6/12/2023,,89546,15.84,0,0
LN0000269,205404289,ACC205404289,PRD004,12/21/2020,,1093962,10.88,0,0
LN0000270,205402170,ACC205402170,PRD004,1/4/2023,12/31/2024,1375830,10.53,0,0
LN0000271,205402219,ACC205402219,PRD003,8/11/2022,12/31/2024,361644,14.45,0,0
LN0000272,205401316,ACC205401316,PRD003,3/20/2024,12/31/2024,391182,16.71,1,223819.59
LN0000273,205400587,ACC205400587,PRD004,8/21/2020,8/1/2022,397340,9.07,0,0
LN0000274,205402945,ACC205402945,PRD003,1/1/2024,12/31/2024,483207,15.46,0,0
LN0000275,205402470,ACC205402470,PRD003,3/4/2023,,80658,17.78,0,0
LN0000276,205402192,ACC205402192,PRD003,12/14/2022,12/31/2024,306246,15.19,0,0
LN0000277,205400814,ACC205400814,PRD003,4/21/2021,,307667,12.6,0,0
LN0000278,205403404,ACC205403404,PRD003,10/31/2022,12/31/2024,382950,15,0,0
LN0000279,205401948,ACC205401948,PRD003,8/18/2023,,101878,15.64,0,0
LN0000280,205403359,ACC205403359,PRD004,8/28/2023,12/31/2024,1488298,11.42,0,0
LN0000281,205404177,ACC205404177,PRD003,10/21/2022,11/28/2024,130774,16.74,0,0
LN0000282,205403390,ACC205403390,PRD003,4/2/2024,,304794,14.62,0,0
LN0000283,205404580,ACC205404580,PRD003,12/30/2020,12/31/2022,166872,17.3,0,0
LN0000284,205401158,ACC205401158,PRD003,5/2/2024,12/31/2024,170896,10.89,1,60121.49
LN0000285,205400163,ACC205400163,PRD003,12/15/2019,7/8/2022,340532,14.65,1,160406.21
LN0000286,205401242,ACC205401242,PRD003,12/14/2023,12/31/2024,254901,10.01,0,0
LN0000287,205401169,ACC205401169,PRD004,9/6/2022,12/31/2024,1090224,10.66,0,0
LN0000288,205402749,ACC205402749,PRD003,8/12/2022,12/31/2024,120671,10.43,0,0
LN0000289,205401110,ACC205401110,PRD003,11/23/2022,3/26/2024,279483,14.14,1,187515.94
LN0000290,205400147,ACC205400147,PRD004,1/3/2019,6/7/2023,978510,12.57,1,536423.51
LN0000291,205401042,ACC205401042,PRD003,7/26/2023,12/31/2024,62154,14.97,0,0
LN0000292,205401723,ACC205401723,PRD003,11/3/2023,12/31/2024,215151,11.08,0,0
LN0000293,205401281,ACC205401281,PRD004,7/1/2023,12/31/2024,820795,9.96,1,535602.39
LN0000294,205401293,ACC205401293,PRD003,7/21/2023,12/31/2024,311924,17.56,0,0
LN0000295,205402444,ACC205402444,PRD003,3/1/2022,12/18/2023,448358,13.76,0,0
LN0000296,205403400,ACC205403400,PRD004,12/20/2021,,1636766,9.76,0,0
LN0000297,205402809,ACC205402809,PRD003,3/23/2024,,95414,11.77,0,0
LN0000298,205401813,ACC205401813,PRD003,4/27/2024,12/31/2024,111065,10.4,0,0
LN0000299,205402195,ACC205402195,PRD003,1/22/2024,,299818,14.5,0,0
LN0000300,205401546,ACC205401546,PRD004,5/2/2024,,1060971,8.96,0,0
LN0000301,205403788,ACC205403788,PRD003,1/11/2022,7/16/2024,315716,13.3,0,0
LN0000302,205404004,ACC205404004,PRD004,1/23/2024,,1989112,9.78,0,0
LN0000303,205402167,ACC205402167,PRD003,12/18/2023,12/31/2024,309889,15.2,1,197972.42
LN0000304,205402236,ACC205402236,PRD003,3/2/2024,,412674,15.77,0,0
LN0000305,205400826,ACC205400826,PRD003,7/11/2023,,138189,13.68,0,0
LN0000306,205401971,ACC205401971,PRD003,12/14/2023,12/31/2024,498882,16,0,0
LN0000307,205404521,ACC205404521,PRD003,2/24/2021,,75377,14.67,0,0
LN0000308,205402336,ACC205402336,PRD003,11/19/2020,12/31/2024,150822,12.31,1,65682.15
LN0000309,205404055,ACC205404055,PRD003,9/16/2022,12/31/2024,204681,11.41,0,0
LN0000310,205401779,ACC205401779,PRD004,8/17/2023,12/31/2024,1615879,10.35,0,0
